127.0.0.1 - - [03/Jan/2017:00:03:54 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:48 -0200] "GET /financeiro/javax.faces.resource/editar16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:17:48 -0200] "GET /financeiro/javax.faces.resource/excluir16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:03 -0200] "POST /financeiro/restrito/lancamento.jsf HTTP/1.1" 200 12462
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:25 -0200] "POST /financeiro/restrito/lancamento.jsf HTTP/1.1" 200 13572
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:44 -0200] "POST /financeiro/restrito/lancamento.jsf HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/ HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_rodape.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:47 -0200] "GET /financeiro/javax.faces.resource/fundo_barra_menu.png.jsf?ln=imagens HTTP/1.1" 304 -
